transaction_id,sender_account_id,receiver_account_id,receiver_account_number,receiver_name,amount,transaction_time,transaction_hour,transaction_dayofweek,is_off_hours,is_high_value,is_repeated_amount,anomaly_score,risk_level,is_fraud,status,rule_triggered
TXN000029,ACC0109,ACC0052,7852415525,Lopa Chakraborty,629001.34,2025-08-19T22:25:24,22,1,0,1,0,53.59,High,1,Flagged,RULE003
TXN000030,ACC0073,ACC0105,2272368870,Eshana Hegde,44865.8,2025-10-26T10:16:15,10,6,0,0,0,18.68,Low,0,Normal,None
TXN000031,ACC0105,ACC0041,5659161352,Mekhala Verma,83491.72,2025-01-13T18:57:33,18,0,0,0,0,18.27,Low,0,Normal,None
TXN000032,ACC0030,ACC0047,7418301077,Qasim Kurian,79558.81,2025-01-10T11:24:01,11,4,0,0,0,18.75,Low,0,Normal,None
TXN000033,ACC0077,ACC0119,1322401182,Panini Virk,55390.56,2025-10-16T14:35:52,14,3,0,0,0,18.83,Low,0,Normal,None
TXN000034,ACC0107,ACC0031,3196545325,Ikbal Virk,7272.52,2025-07-17T21:16:24,21,3,0,0,0,8.58,Low,0,Normal,None
TXN000035,ACC0010,ACC0072,2503068227,Keya Nair,34350.31,2025-09-23T16:20:47,16,1,0,0,0,11.88,Low,0,Normal,None
TXN000036,ACC0053,ACC0080,3693985578,Ishwar Dave,445015.59,2025-01-31T08:38:49,8,4,0,1,0,36.5,Medium,1,Flagged,RULE003
TXN000037,ACC0078,ACC0065,3085816511,Urvi Lata,12538.46,2025-11-02T16:02:30,16,6,0,0,0,5.25,Low,0,Normal,None
TXN000038,ACC0110,ACC0106,9650701349,Abhiram Srinivas,73482.59,2026-02-05T02:54:50,2,3,1,0,0,40.98,Medium,1,Flagged,RULE002
TXN000039,ACC0055,ACC0078,9410288290,Forum Devan,47740.41,2025-06-01T21:09:47,21,6,0,0,0,17.12,Low,0,Normal,None
TXN000040,ACC0003,ACC0057,2227193073,Netra Thakur,37594.33,2025-03-04T15:32:42,15,1,0,0,0,8.62,Low,0,Normal,None
TXN000041,ACC0081,ACC0094,7040562787,Ekta Bora,1819696.74,2025-06-16T14:56:11,14,0,0,1,0,36.63,Medium,1,Flagged,RULE003
TXN000042,ACC0056,ACC0012,2188332531,Hritik Wali,56295.07,2025-07-04T22:03:40,22,4,0,0,0,11.55,Low,0,Normal,None
TXN000043,ACC0034,ACC0033,9597198563,Oviya Chander,3590.91,2025-08-05T08:19:36,8,1,0,0,0,5.05,Low,0,Normal,None
TXN000044,ACC0043,ACC0101,6122110529,Aarnav Dey,80040.44,2025-11-11T12:48:13,12,1,0,0,0,24.17,Low,0,Normal,None
TXN000045,ACC0059,ACC0036,7473041886,Omkaar Kala,23493.4,2025-11-22T15:28:29,15,5,0,0,0,8.59,Low,0,Normal,None
TXN000046,ACC0045,ACC0122,9895649328,Ladli Iyer,1880567.75,2025-04-14T21:20:18,21,0,0,1,0,31.11,Medium,1,Flagged,RULE003
TXN000047,ACC0027,ACC0105,2272368870,Mitali Krish,77177.36,2025-03-18T14:44:32,14,1,0,0,0,19.95,Low,0,Normal,None
TXN000048,ACC0093,ACC0012,2188332531,Gaurav Sabharwal,78037.09,2025-08-09T01:12:11,1,5,1,0,0,26.12,Medium,1,Flagged,RULE002
TXN000049,ACC0069,ACC0033,9597198563,Madhav Tailor,87252.68,2025-09-14T19:13:39,19,6,0,0,0,20.27,Low,0,Normal,None
TXN000050,ACC0064,ACC0038,7739255769,Rachit Sami,87312.21,2026-03-25T13:17:40,13,2,0,0,1,36.91,Medium,1,Flagged,RULE001
TXN000051,ACC0076,ACC0065,3085816511,Osha Saxena,47837.11,2025-10-08T22:24:26,22,2,0,0,0,14.4,Low,0,Normal,None
TXN000052,ACC0008,ACC0049,1939915527,Amol Zachariah,73908.58,2025-08-26T14:56:16,14,1,0,0,0,20.19,Low,0,Normal,None
TXN000053,ACC0097,ACC0082,2591589823,Matthew Kala,55353.66,2025-10-28T08:50:08,8,1,0,0,0,17.16,Low,0,Normal,None
TXN000054,ACC0016,ACC0015,3373077218,Chakradev Bhardwaj,74943.37,2026-03-20T16:02:54,16,4,0,0,0,17.77,Low,0,Normal,None
TXN000055,ACC0036,ACC0097,3971203213,Forum Varma,11084.84,2026-05-25T15:44:03,15,0,0,0,0,6.81,Low,0,Normal,None
TXN000056,ACC0109,ACC0125,6534540349,Ekansh Saxena,62457.65,2025-02-16T12:51:48,12,6,0,0,0,14.63,Low,0,Normal,None
TXN000057,ACC0093,ACC0117,4178659381,Vidhi Bhardwaj,36076.23,2025-01-27T02:00:18,2,0,1,0,0,33.72,Medium,1,Flagged,RULE002
TXN000058,ACC0108,ACC0020,9292791081,Tejas Ahuja,7519.19,2026-01-25T17:38:36,17,6,0,0,0,7.42,Low,0,Normal,None
TXN000059,ACC0052,ACC0102,3964229896,Chandani Sundaram,57772.9,2025-06-03T18:08:50,18,1,0,0,0,14.81,Low,0,Normal,None
TXN000060,ACC0088,ACC0057,2227193073,Lakshit Mall,70969.51,2026-05-11T01:50:39,1,0,1,0,0,37.73,Medium,1,Flagged,RULE002
TXN000061,ACC0109,ACC0018,4993808565,Inaya Pillay,223834.08,2025-10-05T12:42:30,12,6,0,1,0,47.8,Medium,1,Flagged,RULE003
TXN000062,ACC0112,ACC0109,7311011808,Agastya Konda,51930.3,2025-05-04T01:12:17,1,6,1,0,0,25.24,Medium,1,Flagged,RULE002
TXN000063,ACC0096,ACC0025,1977515194,Rehaan Mane,48484.43,2025-10-13T10:29:38,10,0,0,0,0,10.5,Low,0,Normal,None
TXN000064,ACC0099,ACC0110,5146780827,Dalaja Divan,32229.53,2025-07-22T01:57:58,1,1,1,0,0,27.68,Medium,1,Flagged,RULE002
TXN000065,ACC0042,ACC0023,8982597239,Leela Sarraf,20962.03,2026-03-15T10:29:22,10,6,0,0,0,11.45,Low,0,Normal,None
TXN000066,ACC0125,ACC0103,7374584386,Viraj Dayal,39145.03,2025-02-17T02:14:33,2,0,1,0,0,28.84,Medium,1,Flagged,RULE002
TXN000067,ACC0021,ACC0066,1116402431,Aarav Gill,63448.1,2025-03-14T12:55:32,12,4,0,0,1,46.05,Medium,1,Flagged,RULE001
TXN000068,ACC0067,ACC0048,3953315788,Dayamai Lala,73095.92,2026-01-23T13:56:27,13,4,0,0,1,33.84,Medium,1,Flagged,RULE001
TXN000069,ACC0023,ACC0111,3051831252,Ekaraj Kalita,25304.98,2026-04-02T08:34:07,8,3,0,0,0,5.17,Low,0,Normal,None
TXN000070,ACC0025,ACC0022,4011966884,Faqid Goyal,65498.79,2025-09-29T18:37:59,18,0,0,0,0,16.71,Low,0,Normal,None
TXN000071,ACC0114,ACC0130,2194673401,Eiravati Mani,46708.07,2025-08-14T01:42:54,1,3,1,0,0,27.55,Medium,1,Flagged,RULE002
TXN000072,ACC0109,ACC0088,5667181604,Adya Dhaliwal,38628.27,2026-05-13T15:34:43,15,2,0,0,0,13.23,Low,0,Normal,None
TXN000073,ACC0002,ACC0001,8067372072,Veda Bajaj,92000.97,2025-11-14T22:26:34,22,4,0,0,0,21.0,Low,0,Normal,None
TXN000074,ACC0023,ACC0031,3196545325,Indira Konda,86894.64,2025-09-10T18:52:20,18,2,0,0,0,20.07,Low,0,Normal,None
TXN000075,ACC0059,ACC0009,6464693977,Krisha Pau,82724.41,2025-02-24T18:36:13,18,0,0,0,0,18.01,Low,0,Normal,None
TXN000076,ACC0040,ACC0028,1118543408,Frado Lall,98102.11,2025-12-07T19:16:46,19,6,0,0,1,40.45,Medium,1,Flagged,RULE001
TXN000077,ACC0048,ACC0107,9824122054,Varsha Sachdev,9425.11,2026-03-18T11:55:23,11,2,0,0,0,10.03,Low,0,Normal,None
TXN000078,ACC0084,ACC0081,4459716271,Janya Virk,12170.41,2026-01-22T14:39:01,14,3,0,0,1,39.94,Medium,1,Flagged,RULE001
TXN000079,ACC0074,ACC0107,9824122054,Chanakya Patla,52132.81,2025-07-11T15:27:42,15,4,0,0,0,16.2,Low,0,Normal,None
TXN000080,ACC0004,ACC0034,6141226746,Dominic Kar,14060.01,2025-07-15T18:47:25,18,1,0,0,0,4.55,Low,0,Normal,None
TXN000081,ACC0062,ACC0070,8868054898,Azaan Tiwari,81765.35,2026-02-13T10:10:27,10,4,0,0,0,19.42,Low,0,Normal,None
TXN000082,ACC0016,ACC0066,1116402431,Neelima Walia,8470.22,2026-05-24T12:17:13,12,6,0,0,0,9.01,Low,0,Normal,None
TXN000083,ACC0021,ACC0124,1610900200,Chameli Shroff,1898541.34,2025-03-22T12:02:02,12,5,0,1,0,38.34,Medium,1,Flagged,RULE003
TXN000084,ACC0074,ACC0001,8067372072,Faras Bala,14225.26,2025-01-27T20:09:33,20,0,0,0,0,6.31,Low,0,Normal,None
TXN000085,ACC0105,ACC0104,7858164010,Shivani Pandey,4257.36,2026-02-17T19:58:49,19,1,0,0,0,9.94,Low,0,Normal,None
TXN000086,ACC0019,ACC0037,1546696950,Girindra Sastry,28462.81,2026-04-18T15:40:58,15,5,0,0,0,14.29,Low,0,Normal,None
TXN000087,ACC0125,ACC0072,2503068227,Banjeet Reddy,249048.47,2026-02-09T21:53:14,21,0,0,1,0,41.34,Medium,1,Flagged,RULE003
TXN000088,ACC0069,ACC0053,7462972995,Maanas Agrawal,32335.45,2025-09-27T19:36:10,19,5,0,0,0,16.21,Low,0,Normal,None
TXN000089,ACC0003,ACC0098,6879898071,Christopher Yogi,25522.14,2025-10-31T22:24:26,22,4,0,0,0,11.78,Low,0,Normal,None
TXN000090,ACC0078,ACC0020,9292791081,Ikbal Sarraf,87088.17,2025-10-19T22:35:21,22,6,0,0,0,18.61,Low,0,Normal,None
TXN000091,ACC0127,ACC0053,7462972995,Anamika Tara,1185176.56,2025-10-24T16:02:13,16,4,0,1,0,40.75,Medium,1,Flagged,RULE003
TXN000092,ACC0071,ACC0121,8331319481,Sarthak Venkatesh,957448.87,2025-04-29T20:47:41,20,1,0,1,0,36.03,Medium,1,Flagged,RULE003
TXN000093,ACC0079,ACC0114,2065972034,Manbir Tank,39107.94,2025-04-02T17:05:42,17,2,0,0,0,15.18,Low,0,Normal,None
TXN000094,ACC0108,ACC0013,9503167458,Nikita Dube,74977.24,2025-08-09T02:56:13,2,5,1,0,0,32.93,Medium,1,Flagged,RULE002
TXN000095,ACC0055,ACC0010,2472659626,Shivansh Bassi,21029.05,2026-04-17T14:58:29,14,4,0,0,0,13.34,Low,0,Normal,None
TXN000096,ACC0100,ACC0104,7858164010,Avni Peri,4647.35,2025-11-02T21:03:15,21,6,0,0,0,1.34,Low,0,Normal,None
TXN000097,ACC0015,ACC0082,2591589823,Hardik Zachariah,81333.05,2025-04-09T18:55:53,18,2,0,0,0,15.09,Low,0,Normal,None
TXN000098,ACC0061,ACC0056,6322520473,Sai Keer,70645.8,2025-10-24T14:01:26,14,4,0,0,0,18.29,Low,0,Normal,None
TXN000099,ACC0110,ACC0073,2062073697,Umang Batra,371851.87,2025-10-07T13:50:21,13,1,0,1,0,53.21,High,1,Flagged,RULE003
TXN000100,ACC0098,ACC0056,6322520473,Yagnesh Srinivas,6362.69,2025-10-05T16:48:47,16,6,0,0,0,10.32,Low,0,Normal,None
TXN000101,ACC0012,ACC0014,1041531046,Indira Wagle,38377.89,2026-02-15T18:48:59,18,6,0,0,0,15.91,Low,0,Normal,None
TXN000102,ACC0022,ACC0080,3693985578,Bahadurjit Bhatia,1445.24,2026-02-03T14:46:09,14,1,0,0,1,36.09,Medium,1,Flagged,RULE001
TXN000103,ACC0110,ACC0055,8033702319,Qasim Raju,63896.06,2026-01-12T16:02:50,16,0,0,0,1,48.6,Medium,1,Flagged,RULE001
TXN000104,ACC0031,ACC0034,6141226746,Ekani Vaidya,22725.67,2025-04-23T16:14:12,16,2,0,0,1,29.96,Medium,1,Flagged,RULE001
TXN000105,ACC0070,ACC0014,1041531046,Vinaya Ratta,37464.39,2025-10-29T01:04:42,1,2,1,0,0,35.49,Medium,1,Flagged,RULE002
TXN000106,ACC0053,ACC0103,7374584386,Arya Bora,12873.5,2025-12-04T01:46:23,1,3,1,0,0,28.67,Medium,1,Flagged,RULE002
TXN000107,ACC0054,ACC0013,9503167458,Sudiksha Natarajan,17215.87,2025-03-20T11:19:54,11,3,0,0,0,5.23,Low,0,Normal,None
TXN000108,ACC0108,ACC0032,6111349421,Hemani De,1710430.8,2026-04-17T15:03:30,15,4,0,1,0,44.4,Medium,1,Flagged,RULE003
TXN000109,ACC0129,ACC0096,1074059253,Nachiket Sarraf,1583906.93,2026-02-20T17:54:23,17,4,0,1,0,33.8,Medium,1,Flagged,RULE003
TXN000110,ACC0123,ACC0003,1429416213,Alka Nanda,19953.84,2025-08-06T10:01:12,10,2,0,0,0,10.43,Low,0,Normal,None
TXN000111,ACC0001,ACC0081,4459716271,Isaac Dave,50093.27,2025-11-19T10:24:47,10,2,0,0,0,10.46,Low,0,Normal,None
TXN000112,ACC0070,ACC0080,3693985578,Aayush Buch,70494.15,2026-01-04T14:53:56,14,6,0,0,0,15.9,Low,0,Normal,None
TXN000113,ACC0051,ACC0076,2584392711,Vihaan Panchal,70883.52,2026-03-20T10:14:10,10,4,0,0,0,22.18,Low,0,Normal,None
TXN000114,ACC0070,ACC0071,3019952485,Jhalak Rai,20506.42,2026-01-10T21:26:42,21,5,0,0,0,12.1,Low,0,Normal,None
TXN000115,ACC0125,ACC0010,2472659626,Charvi Bajwa,15564.66,2025-03-12T23:25:27,23,2,0,0,1,30.16,Medium,1,Flagged,RULE001
TXN000116,ACC0014,ACC0057,2227193073,Ojasvi Sankar,63328.42,2025-11-07T10:12:30,10,4,0,0,0,17.9,Low,0,Normal,None
TXN000117,ACC0102,ACC0130,2194673401,Darpan Gill,2182.83,2025-03-18T09:31:53,9,1,0,0,1,44.69,Medium,1,Flagged,RULE001
TXN000118,ACC0034,ACC0098,6879898071,Yauvani Jani,1253531.7,2025-11-04T20:06:13,20,1,0,1,0,33.77,Medium,1,Flagged,RULE003
TXN000119,ACC0051,ACC0122,9895649328,Chakrika Keer,76068.84,2025-12-27T02:50:26,2,5,1,0,0,38.75,Medium,1,Flagged,RULE002
TXN000120,ACC0068,ACC0119,1322401182,Indrajit Taneja,37649.07,2025-12-31T22:23:03,22,2,0,0,0,15.25,Low,0,Normal,None
TXN000121,ACC0068,ACC0087,7839626408,Wazir Tata,49257.13,2025-10-27T16:24:39,16,0,0,0,0,12.44,Low,0,Normal,None
TXN000122,ACC0112,ACC0047,7418301077,Oscar Gokhale,44012.5,2026-02-23T17:35:11,17,0,0,0,0,12.82,Low,0,Normal,None
TXN000123,ACC0098,ACC0097,3971203213,Wriddhish Krishna,2987.16,2025-12-04T11:19:41,11,3,0,0,1,42.97,Medium,1,Flagged,RULE001
TXN000124,ACC0016,ACC0019,4482238042,Neel Sarma,1535.16,2026-04-06T10:31:30,10,0,0,0,0,2.91,Low,0,Normal,None
TXN000125,ACC0056,ACC0103,7374584386,Sneha Naik,52801.9,2026-01-21T12:30:16,12,2,0,0,0,10.62,Low,0,Normal,None
TXN000126,ACC0015,ACC0071,3019952485,Garima Natarajan,66476.6,2026-04-07T01:21:06,1,1,1,0,0,36.7,Medium,1,Flagged,RULE002
TXN000127,ACC0058,ACC0045,5607762160,Omaja Walia,85386.53,2025-07-12T13:12:13,13,5,0,0,0,16.73,Low,0,Normal,None
TXN000128,ACC0020,ACC0095,8261111839,Harshil Dada,242713.08,2025-11-13T12:19:01,12,3,0,1,0,34.54,Medium,1,Flagged,RULE003
TXN000129,ACC0006,ACC0044,4464161270,Idika Walla,34262.02,2025-08-23T22:48:31,22,5,0,0,0,8.3,Low,0,Normal,None
TXN000130,ACC0033,ACC0070,8868054898,Upasna Ratta,17068.09,2025-04-18T17:53:04,17,4,0,0,0,6.87,Low,0,Normal,None
TXN000131,ACC0094,ACC0093,5071897791,Kala Rajan,79649.65,2025-10-16T15:02:28,15,3,0,0,1,46.92,Medium,1,Flagged,RULE001
TXN000132,ACC0071,ACC0115,7539399243,Bhavani Natt,86181.46,2025-01-29T20:41:45,20,2,0,0,0,21.39,Low,0,Normal,None
TXN000133,ACC0123,ACC0110,5146780827,Zaitra Hari,92958.73,2025-06-04T14:01:41,14,2,0,0,0,19.44,Low,0,Normal,None
TXN000134,ACC0018,ACC0123,5010075517,Hardik Kar,31174.02,2026-03-04T13:32:28,13,2,0,0,0,6.43,Low,0,Normal,None
TXN000135,ACC0089,ACC0126,7614170462,Rishi Bora,70962.21,2025-10-09T12:31:59,12,3,0,0,0,19.21,Low,0,Normal,None
TXN000136,ACC0099,ACC0008,4821286999,Falan Issac,6980.97,2025-10-10T16:02:01,16,4,0,0,0,3.18,Low,0,Normal,None
TXN000137,ACC0032,ACC0024,9239688178,Ira Soni,1941563.21,2026-02-06T15:37:07,15,4,0,1,0,34.77,Medium,1,Flagged,RULE003
TXN000138,ACC0054,ACC0089,6922713963,Ekaja Narasimhan,21601.36,2025-12-27T09:58:38,9,5,0,0,0,6.97,Low,0,Normal,None
TXN000139,ACC0093,ACC0008,4821286999,Wishi Bains,52659.86,2025-01-10T16:45:00,16,4,0,0,0,18.95,Low,0,Normal,None
TXN000140,ACC0096,ACC0119,1322401182,Omya Chaudhry,47754.37,2025-02-12T15:00:56,15,2,0,0,0,13.08,Low,0,Normal,None
TXN000141,ACC0120,ACC0002,1311570307,Kamala Patla,11305.85,2026-04-26T17:19:06,17,6,0,0,0,10.6,Low,0,Normal,None
TXN000142,ACC0059,ACC0035,4642197907,Harini Hayre,38467.56,2026-04-15T12:58:41,12,2,0,0,1,39.13,Medium,1,Flagged,RULE001
TXN000143,ACC0099,ACC0065,3085816511,Wridesh Sen,45732.51,2025-06-03T18:34:31,18,1,0,0,0,12.53,Low,0,Normal,None
TXN000144,ACC0053,ACC0106,9650701349,Arunima Doshi,13752.72,2026-04-03T11:29:11,11,4,0,0,0,11.54,Low,0,Normal,None
TXN000145,ACC0049,ACC0036,7473041886,Nidhi Banerjee,3338.01,2026-04-06T01:46:15,1,0,1,0,0,25.84,Medium,1,Flagged,RULE002
TXN000146,ACC0091,ACC0113,1651662547,Champak Wagle,63124.76,2026-02-19T09:41:59,9,3,0,0,0,14.03,Low,0,Normal,None
TXN000147,ACC0053,ACC0071,3019952485,Aarush Krish,29107.83,2025-08-10T16:50:44,16,6,0,0,0,13.33,Low,0,Normal,None
TXN000148,ACC0020,ACC0090,2395925222,Mason Sood,99.24,2025-06-10T11:18:35,11,1,0,0,0,8.88,Low,0,Normal,None
TXN000149,ACC0074,ACC0044,4464161270,Osha Gokhale,7276.09,2025-11-19T02:45:23,2,2,1,0,0,29.98,Medium,1,Flagged,RULE002
TXN000150,ACC0103,ACC0080,3693985578,Chameli Krishnamurthy,73642.97,2025-04-11T10:27:13,10,4,0,0,0,17.69,Low,0,Normal,None
TXN000151,ACC0070,ACC0059,3980491761,Bina Karnik,73542.32,2025-07-31T16:58:17,16,3,0,0,0,22.73,Low,0,Normal,None
TXN000152,ACC0073,ACC0096,1074059253,Damini Chandra,34477.88,2026-05-01T14:33:27,14,4,0,0,0,16.11,Low,0,Normal,None
TXN000153,ACC0053,ACC0091,8721631198,Januja Goswami,44174.57,2025-08-09T02:09:36,2,5,1,0,0,23.52,Low,1,Flagged,RULE002
TXN000154,ACC0021,ACC0069,9072992279,Tarak Handa,40857.62,2025-09-18T14:31:34,14,3,0,0,0,8.65,Low,0,Normal,None
TXN000155,ACC0021,ACC0108,3108307952,Gayathri Krishna,4237.29,2025-02-10T21:48:11,21,0,0,0,0,9.95,Low,0,Normal,None
TXN000156,ACC0103,ACC0015,3373077218,Chanakya Mistry,50765.67,2026-02-20T01:23:54,1,4,1,0,0,30.82,Medium,1,Flagged,RULE002
TXN000157,ACC0066,ACC0115,7539399243,Girik Rajagopalan,52198.22,2026-03-18T01:07:31,1,2,1,0,0,33.28,Medium,1,Flagged,RULE002
TXN000158,ACC0084,ACC0119,1322401182,Peter Radhakrishnan,1341864.48,2026-03-23T11:52:59,11,0,0,1,0,46.75,Medium,1,Flagged,RULE003
TXN000159,ACC0008,ACC0003,1429416213,Oni Gour,62644.41,2025-07-05T14:10:43,14,5,0,0,0,18.68,Low,0,Normal,None
TXN000160,ACC0081,ACC0002,1311570307,Abeer Dua,1944688.22,2025-10-06T09:48:37,9,0,0,1,0,45.86,Medium,1,Flagged,RULE003
TXN000161,ACC0059,ACC0073,2062073697,Prisha Sarkar,51354.57,2025-12-15T15:17:02,15,0,0,0,0,15.31,Low,0,Normal,None
TXN000162,ACC0070,ACC0115,7539399243,Eesha Oak,76425.09,2026-05-09T16:58:56,16,5,0,0,1,38.95,Medium,1,Flagged,RULE001
TXN000163,ACC0027,ACC0077,4518871744,Mason Chad,55687.4,2025-09-24T10:44:29,10,2,0,0,1,34.31,Medium,1,Flagged,RULE001
TXN000164,ACC0066,ACC0033,9597198563,Champak Krishnan,12281.58,2025-02-07T20:13:00,20,4,0,0,0,4.55,Low,0,Normal,None
TXN000165,ACC0119,ACC0127,2075321966,Robert Kaul,6147.12,2026-02-13T15:32:09,15,4,0,0,0,10.32,Low,0,Normal,None
TXN000166,ACC0001,ACC0095,8261111839,Kalpit Gandhi,18640.89,2026-05-02T13:39:30,13,5,0,0,0,5.15,Low,0,Normal,None
TXN000167,ACC0119,ACC0098,6879898071,Jalsa Nayak,22379.68,2025-01-10T02:23:07,2,4,1,0,0,23.0,Low,1,Flagged,RULE002
TXN000168,ACC0035,ACC0071,3019952485,Pranav Wali,90064.37,2026-03-30T19:22:34,19,0,0,0,0,18.51,Low,0,Normal,None
TXN000169,ACC0046,ACC0103,7374584386,Bina Peri,64939.22,2025-09-17T14:33:40,14,2,0,0,0,22.28,Low,0,Normal,None
TXN000170,ACC0123,ACC0081,4459716271,Ekalinga Saini,38326.37,2025-09-30T12:59:48,12,1,0,0,0,7.92,Low,0,Normal,None
TXN000171,ACC0068,ACC0112,9908115095,Ekiya Krishnan,47473.83,2025-05-19T11:11:39,11,0,0,0,0,17.98,Low,0,Normal,None
TXN000172,ACC0045,ACC0040,6679017210,Saumya Loyal,13319.75,2025-09-03T01:02:36,1,2,1,0,0,25.17,Medium,1,Flagged,RULE002
TXN000173,ACC0056,ACC0031,3196545325,Omya Prakash,89693.47,2026-02-25T08:15:52,8,2,0,0,0,17.76,Low,0,Normal,None
TXN000174,ACC0129,ACC0059,3980491761,Hredhaan Mitter,58356.92,2025-07-20T20:08:25,20,6,0,0,0,16.47,Low,0,Normal,None
TXN000175,ACC0077,ACC0061,2785736751,Sarthak Thaker,58890.18,2026-03-21T12:34:58,12,5,0,0,0,12.12,Low,0,Normal,None
TXN000176,ACC0129,ACC0124,1610900200,Jacob Dara,93804.71,2025-09-02T08:54:51,8,1,0,0,0,24.94,Low,0,Normal,None
TXN000177,ACC0003,ACC0044,4464161270,Ojas Bakshi,2480.45,2025-12-10T22:20:55,22,2,0,0,1,44.74,Medium,1,Flagged,RULE001
TXN000178,ACC0051,ACC0117,4178659381,Qushi Varkey,3164.91,2025-02-18T13:35:36,13,1,0,0,1,30.76,Medium,1,Flagged,RULE001
TXN000179,ACC0080,ACC0096,1074059253,Kamya Chatterjee,41844.25,2025-12-16T13:58:48,13,1,0,0,0,16.51,Low,0,Normal,None
